Bi-Gram Phrase,Frequency Count
droid eris's,2
pda caller,2
camera editing,2
long quiet,2
letters keys,2
msn messenger,2
protection film,2
pressing menu,2
genre single,2
upcoming touchscreen,2
offer full,2
fewer mistakes,2
messages retrieved,2
motoblur setup,2
offers 3g,2
sharp display,2
market htc,2
pre's synergy,2
display brightness,2
quality video,2
files ability,2
port camera,2
making easy,2
hd2 feel,2
edr application,2
headset offer,2
francisco tmobile,2
menu icon,2
roaming speed,2
sensor display,2
054 inch,2
support wifi,2
mail widget,2
builtin wifi,2
business device,2
$499 minute,2
cable great,2
francisco half,2
add voice,2
features previous,2
similar cliq,2
calendar lookup,2
offers 5megapixel,2
navigation back,2
travel play,2
francisco call,2
phone connects,2
measures 445,2
onetouch access,2
numerous times,2
apps phone's,2
16 seconds,2
exchange gmail,2
flash digital,2
convenient place,2
contacts widget,2
tmobile released,2
upper hand,2
air cast,2
email options,2
buttons swipe,2
application software,2
support mms,2
work businesses,2
apps continues,2
1900 2100mhz,2
mobile tv,2
voice quality,2
pretty decent,2
pleasantly surprised,2
task management,2
design includes,2
occasionally press,2
player fm,2
htc pure,2
design performance,2
1400 mah,2
song playing,2
menu basic,2
time 4,2
store phone's,2
stabilizer gps,2
time 6,2
time 7,2
tones polyphonic,2
seamless international,2
movie trailer,2
youtube device,2
number improvements,2
wireless modem,2
wmv avi,2
button bring,2
makes smartphone,2
media files,2
scenes presents,2
interface bottom,2
controls keyboard,2
pre ships,2
completely dark,2
extra back,2
back battery,2
20 additional,2
att width,2
groups set,2
tmobile model,2
videos connect,2
18 days,2
seamless design,2
gorgeous touch,2
triangulation find,2
sprint hero,2
price nokia,2
speakerphone gps,2
multidestination trips,2
typing messages,2
finger keyboard,2
phone depending,2
balance brightness,2
resolutions 640,2
las vegas,2
tomtom offer,2
3g wifi,2
files sd,2
cliq great,2
geotagging htc,2
text easy,2
quality satisfactory,2
entire block,2
international airport,2
bad android,2
live messenger,2
iphone offer,2
hsdpa band,2
legend offers,2
starting october,2
smoky mirrored,2
